7389,Carriage Hills Ranch,Carriage Hills Ranch,"<h2><strong>Welcome to Carriage Hills Ranch - <em>An Authentic Texas Hill Country Wedding Venue</em></strong></h2>
<p class="""" data-rte-preserve-empty=""true"">&nbsp;<strong>If you&rsquo;re here in search of a venue with a true Texas-vibe, to celebrate your <em>I Do&rsquo;s</em> and dance the night away in the heart of the Texas Hill Country, you&rsquo;re in the right place.</strong></p>
<p class="""">You might be looking for a venue that&rsquo;s a mix of beautiful outdoor and indoor space that will treat you and your out-of-town guests like family. One that makes planning your big day with all of <em>your</em> favorite wedding vendors a joy, and includes lots of extras (at no extra charge) making planning easy.</p>
<p class="""">We&rsquo;re so glad you&rsquo;ve discovered our little corner of paradise at Carriage Hills Ranch.</p>
<p class=""""><strong>As a family-owned working ranch, we&rsquo;ve been hosting weddings for a lot longer than its been a trend in the Hill Country. </strong>We have a servants heart, believe in doing what&rsquo;s right - not just what&rsquo;s easy, and love our military, veterans, and first responders.<br /><br /></p>
<p class="""">&nbsp;</p>
<h3>&nbsp;</h3>
<h2><span style=""color: #993366;"">&nbsp;<strong>Accommodations:</strong><br /></span></h2>
<ul>
<li>
<p class=""""><strong>Exclusive use</strong> of the 5,400 sq. ft. Reception Hall and the grounds</p>
</li>
<li>
<p class=""""><strong>Three ceremony locations:</strong></p>
<ul data-rte-list=""default"">
<li>
<p class=""""><strong>Gazebo overlooking</strong> our four and a half acre <strong>wet-weather lake</strong> with limestone amphitheater-style seating</p>
</li>
<li>
<p class="""">Outdoor Texas limestone <strong>fireplace and patio</strong></p>
</li>
<li>
<p class=""""><strong>Carriage Hall</strong> in case of inclement weather</p>
</li>
</ul>
</li>
<li>
<p class=""""><strong>Climate-controlled Reception Hall</strong> with caterers kitchen, stage, 6&rsquo; bar, 10&rsquo; buffet table, dance floor, and indoor restrooms (wheelchair accessible)</p>
</li>
<li>
<p class=""""><strong><em>Hundreds of decorative, display, and antique items available for your use</em></strong></p>
</li>
<li>
<p class=""""><strong>Numerous areas for photos</strong> in addition to our ceremony areas such as our <strong>Texas limestone bridge with waterfall</strong>; <strong>Historic San Antonio Streetcar</strong>; terraces; oak trees and more</p>
</li>
<li>
<p class=""""><strong>Use of our tables, linens, and Chiavari fruitwood chairs with cushions</strong> for use inside the reception hall for 220 and 200 white folding chairs (for outdoor reception use)</p>
</li>
<li>
<p class=""""><strong>Outdoor bar and appetizer area on our historic Streetcar </strong>or use our fireplace patio area</p>
</li>
<li>
<p class=""""><strong>Use of our fireplace</strong> - (including wood) for making s&rsquo;mores or staying warm on chilly evenings</p>
</li>
<li>
<p class=""""><strong>Climate-controlled Bridal Cabin and Groom&rsquo;s Quarters</strong></p>
</li>
<li>
<p class=""""><strong>Use of Antique Buckboard Gift Wagon; Antique Display Stand; 6 Whiskey Barrels; Wine Cart; Portable Speaker</strong></p>
</li>
<li>
<p class=""""><strong>Romantic lighting throughout the property,</strong> including terraces and reception hall</p>
</li>
<li>Outdoor <strong>Lawn games</strong></li>
<li>
<p class=""""><strong>Free on-site lighted parking (with handicap parking) and parking attendant</strong></p>
</li>
<li>
<p class=""""><strong>Five-passenger golf cart</strong> available for assisting guests</p>
</li>
<li>
<p class=""""><strong>Off-Duty Police Officer(s) on-site for 4 hours during the reception for security</strong></p>
</li>
<li>
<p class=""""><strong>Carriage Hills Ranch team member</strong> on-site on the day of the event</p>
</li>
<li>
<p class=""""><strong>2 hours for on-site Bridal Portraits</strong> taken prior to the wedding date, on any Couples <a href=""https://www.carriagehillsranch.com/open-houses"">Open House</a> date (<em>photographer not included</em>)</p>
</li>
<li>
<p class=""""><strong>1</strong> <strong>hour of Rehearsal Time</strong> - this may be scheduled the day before the wedding, <em>if available</em></p>
</li>
<li>
<p class=""""><strong>Set-up of tables and chairs in Reception Hall and clean-up</strong></p>
</li>
</ul>",carriagehillsranchtx@gmail.com,Brides To Be,carriagehillsranchtx@gmail.com,https://www.facebook.com/carriagehillsranch/,1.29712E+11,https://www.instagram.com/chrweddings_/?hl=en,,Carriage Hills Ranch,"At Carriage Hills Ranch, Texas Hill Country Weddings are our specialty. The natural beauty of Carriage Hills Ranch is the perfect backdrop for making any brideâ€™s dreams come true. The venue is easily adapted to a theme of your choosing: Texas-style, country, tropical, rustic elegance, or fairy tale. The sunsets are majestic and as the evening falls, Carriage Hills Ranch becomes an enchanted place to spend the evening with your guests.",Carriage Hills Ranch,5122229821,,5122229821,https://www.sanantonioweddings.com/vt/carriagehillsranch
7390,Cedar & Oak Entertainment and Events LLC,Cedar & Oak Entertainment and Events LLC,"<p>Cedar &amp; Oak is locally owned and operated with the explicit mission of providing a worry-free experience when it comes to your event, music and lighting needs. This is accomplished through flawless execution, the latest equipment in the industry, extensive planning and clear communications. We are working solely to meet your needs and ensure your dreams come true.<br /><br />Benji, Cedar &amp; Oak's Chief Operating Officer and first Master of Ceremonies, was taught by one of the best MC's in the southeast, and is trained to get your guests involved in your event with a combination of interactive techniques and an extensive knowledge of music. A keen sense of timing, and professional and courteous conduct are just a few reasons clients gravitate to Cedar &amp; Oak. Every wedding and event is different. Every client is different. And since Cedar &amp; Oak is an organization teeming with creative minds, the possibilities are endless. Again, it&rsquo;s all about you, not us!!<br /><br />What kind of lasting memories do you want to make on your big day? Let us help bring your ideas to life! Let&rsquo;s make some memories together!!<br /><br />The Team at Cedar &amp; Oak</p>",benji.bisnov@candoentertain.com,Bride To Be San Antonio,benji.bisnov@candoentertain.com,https://www.facebook.com/texaspartyfuel/,2.3967E+14,https://www.instagram.com/texaspartyfuel,,,,,8304315032,,NULL,
7391,Chairish The Day,Chairish The Day,"<p>Chairish the Day specializes in&nbsp;bridal hair &amp; makeup, and&nbsp;offers all of their services on location for added convenience.&nbsp; The staff are the elite hair and makeup professionals in San Antonio and surrounding areas.&nbsp;Chairish the Day is focused on providing high-quality service and&nbsp;customer satisfaction - and their promise to you: ""&nbsp;We will do everything we can to meet and exceed&nbsp;your expectations. We want you to LOVE your hair and makeup.""<br /><br />Please note: All photos are of our clients done by artists while working for Chairish the Day.&nbsp;<br /> <br /> *Traditional &amp; Airbrush Makeup*</p>
<p><br /> With a variety of&nbsp;services to choose from, we're sure you'll be happy working with us.&nbsp;&nbsp;Visit our website to see our galleries of past clients or call (210) 632-3877&nbsp;for more information.&nbsp;</p>",chairishtheday@yahoo.com,A Bride-to-Be From SanAntonioWeddings.com,chairishtheday@yahoo.com,https://www.facebook.com/pages/CHAIRish-The-Day/143819035689037,1.43819E+14,,,"Chairish The Day Wedding Hair and Makeup Salon and On site in San Antonio, TX",Chairish The Day specializes in creating hair styles for all special occasions including weddings and bridal events. Stop by the salon on we will meet you onsite.,"chairish the day, weddings, hair, makeup, weddings, san antonio, tx, chairish the day, wedding makeup, chairish the day, hair, weddings, hair,  make-up, makeup, chairish the day, weddings, hair, weddings, chairish the day, hair, ma",2106323877,,2106323877,
7392,Chandelier of Gruene,Chandelier of Gruene,"<p>Come see for yourself why The Chandelier of Gruene is one of the most talked about venues in the Hill Country! Located on spectacular secluded acreage in the Texas Hill Country just minutes from Historic Gruene.</p>
<p>As you enter the property, an oak canopied lane leads you to our picturesque open-air chapel nestled amongst a grassy meadow surrounded by majestic towering oaks. Just steps from the chapel, you find our impressive 12,000 square foot venue accompanied by<span class=""text_exposed_show""> 3,200 square feet of stunning covered patio area. </span></p>
<p><span class=""text_exposed_show"">The venue will comfortably seat 50-500 guests indoors with plenty of space outdoors for your guests during receptions, corporate meetings, family reunions or any event of your dreams! </span></p>
<p><span class=""text_exposed_show"">Throughout the property you will find architectural treasures such as cathedral ceilings, exposed rough sawn cedar beams, hand troweled walls, Chicago brick, gas lanterns, and several splendid crystal chandeliers. All of this combines to create the perfect venue to host the event of your dreams!</span></p>",info@chandelierofgruene.com,A Bride-to-be from SanAntonioWeddings.com,myra@chandelierofgruene.com,https://www.facebook.com/pg/chandelierofgruene/abou,5.75402E+14,https://www.instagram.com/chandelierofgruenevenue/,,"The Chandelier of Greune: Weddings and Events - New Braunfels, TX","The Chandelier of Greune: Weddings and Events - New Braunfels, TX","Chandelier, gruene, san antonio, new braunfels, myra zunker, haley, weddings, outdoor barn",8305003032,,8302171712,https://www.sanantonioweddings.com/vt/chandelierofgruene
7393,Charity Teague Confections,Charity Teague Confections,"<p>Charity Teague is a small town New Mexico girl, currently residing in San Antonio, Texas.&nbsp; She is the owner of Charity Teague Confections and specializes in small batch, hand-painted artisan chocolate.&nbsp; &nbsp;She&rsquo;s an award winning Pastry Chef and Chocolatier, winning Best Dessert Course, People&rsquo;s Choice, Best in Show and a two-time winner of the Chocolate Fantasy competition. &nbsp;&nbsp;She continues to widen the eyes of chocolate lovers with her artful execution.</p>",contact@charityteague.com,Bride to be San Antonio Weddings,contact@charityteague.com,https://www.facebook.com/charityteagueconfections/,1.50716E+15,https://www.instagram.com/charity_teague_confections/,,These gorgeous confections are made entirely by hand and customized for your event.,Gorgeous handmade confections perfect for wedding favors or bridesmaid gifts. Charity hand paints each piece for a truly beautiful and unique gift.,"wedding chocolates, handmade confections, favors",2104261319,,NULL,
7394,Chic Concepts Event Planning & Interior Design,Chic Concepts,"<p>Check out our feature <a href=""http://www.bluetoad.com/publication/?i=316652&amp;p=298"">here</a> in San Antonio Weddings Magazine!</p>
<p>Chic Concepts is a full service event planning and interior design firm. We understand that your wedding day should be everything you want it to be and we&rsquo;re here to create that for you!&nbsp;</p>
<p><span style=""font-family: arial, helvetica, sans-serif;"">Our expertise in design and event planning allows us to coordinate a wedding that caters to your budget, design style and personality.&nbsp;<br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;""><strong>Complete Wedding Design&nbsp;<br /> </strong></span><span style=""font-family: arial, helvetica, sans-serif;"">With more than 10 years of experience in interior design, we use color, exquisite hand pressed linens, lighting and gorgeous floral arrangements, to create a wedding unlike any other.&nbsp;<br /> <br /> </span><span style=""font-family: 'Times New Roman'; font-size: medium;""><span style=""font-family: arial, helvetica, sans-serif; font-size: small;""><strong>Complete Wedding Coordination</strong></span>&nbsp;<br /> </span><span style=""font-family: 'Times New Roman'; font-size: medium;""><span style=""font-family: arial, helvetica, sans-serif; font-size: small;"">From helping choose your venue to creating a detailed itinerary for your wedding day,&nbsp;our&nbsp;creative backbone paired with our organization skills, give us the&nbsp;tools to give you a beautiful wedding within your budget</span>.&nbsp;<br /> <br /> </span><span style=""font-family: arial, helvetica, sans-serif;""><strong>Floral Arrangements<br /> </strong></span><span style=""font-family: 'Times New Roman'; font-size: medium;""><span style=""font-family: arial, helvetica, sans-serif; font-size: small;"">Just need floral arrangements for your wedding? From over-the-top floral designs to simple arrangements, we can provide beautiful floral arrangements for your wedding</span>.<br /> <br /> </span><span style=""font-family: 'Times New Roman'; font-size: medium;""><span style=""font-family: arial, helvetica, sans-serif; font-size: small;""><strong>Candy Station Rental<br /> </strong></span></span><span style=""font-family: arial, helvetica, sans-serif;"">Looking for a fantastic candy station? We rent those a la carte!&nbsp;</span>&nbsp;</p>",norozco@chicconceptstx.com,A Bride-to-Be From SanAntonioWeddings.com,norozco@chicconceptstx.com,https://www.facebook.com/chicconcepts.texas/,1.02758E+14,https://www.instagram.com/chicconceptstx/,,"Chic Concepts Wedding Planner and Florist - San Antonio, TX","Chic Concepts. Your wedding day should be everything you want it to be and we are here to create your vision for you! Floral and wedding decor in San Antonio, TX.","chic concepts wedding consultant, wedding design, san antonio, tx, chic concepts, weddings, florist, san antonio, tx, chic concepts, weddings, candy station, san antonio, tx,",2108842820,,,
7395,Chicken Scratch Photography,Chicken Scratch Photography,"<p>Photography is not just&nbsp;a business to me, it's a passion of mine. I love documenting people's most important moments, whatever they may be! I love to laugh along at a baby's cake smash, smile witnessing the love between a newly engaged couple, or&nbsp;help entice an unwilling&nbsp;toddler to smile during a family session. I love being a small part of your family's milestones, and I look forward to hearing from you!&nbsp;</p>",hello@chickenscratchphotography.com,Bride to be San Antonio Weddings,hello@chickenscratchphotography.com,https://www.facebook.com/chickenscratchphotography/,9.98508E+14,https://www.instagram.com/chicken_scratch_photography/,,"South Texas Wedding Photographer. Photography is  a passion of mine. I love documenting people's most important moments, whatever they may be!","Photography is a passion of mine. I love documenting people's most important moments, whatever they may be!","wedding photography, south texas wedding photographer, photographer, wedding portraits, engagement portraits",8305705512,,NULL,
7396,Christian Ellis Images,Christian Ellis Images,"<p style=""text-align: center;"">Watch our latest videos by <a title=""Christian Ellis Images"" href=""http://www.christianellisimages.com/wedding-video-sabrina"" target=""_blank"">clicking Here!</a></p>
<p style=""text-align: center;""><br />Invest in Your Memories!<br /> At Christian Ellis Images, we specialize in capturing and producing elegant, cinematic weddings.<br /> <br /> Our passion resides in the creative aspect that weddings provide.<br />We believe in delivering a top-notch product at a reasonable and affordable price. We strive to make our client's satisfaction our number one priority.</p>
<p class=""MsoNormal"" style=""text-align: center;"">For more information, please call 210-373-8660 or contact us by email.</p>
<p>&nbsp;</p>",christianellisimages@gmail.com,A Bride-to-be from SanAntonioWeddings.com,christianellisimages@gmail.com,https://www.facebook.com/BeauchampEnterprises?fref=ts,2.61957E+14,,,Christian Ellis Wedding Videographer San Antonio Specializing in Elegant Cinematic Wedding Videos,Christian Ellis Images. Our passion resides in the creative aspect that weddings provide. Invest in your memories.,"Christian Ellis Images, weddings, videographer, videography, christian ellis images, wedding video, videographer, weddings, christian ellis, wedding videography, special events video, christian ellis, videography, videographe",2103738660,,,
7397,Christian Margain Photography,Christian Margain Photography,"<p>My name is Christian. I specialize in weddings and elopement photography based in San Antonio, Texas: My home away from home. I was born and raised in Monterrey, where my love for photography began.&nbsp;</p>
<p>The smallest things in life have always sparked my interest, such as art, different cultures, hiking, and aimless travel. My happiest moments are when I'm photographing people and I'm inspired by art, nature, and driven by creating lifetime memories.<br /><br />I hope you like what you see. If you feel my approach could be the right fit for your wedding feel free to <a href=""http://contact.christianmargain.com/"" target=""_self"">contact me here.</a></p>
<p>-Christian (<a href=""mailto:info@christianmargain.com"">info@christianmargain.com</a>)<br /><br /></p>
<table class=""ng-scope"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td rowspan=""6"" align=""center"" valign=""top""><br /><img src=""https://flic.kr/p/2jdRSi9"" alt="""" width=""200"" height=""200"" /></td>
<td>
<table cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td valign=""top""><strong><span class=""ng-binding"">Christian Margain<br /></span></strong><span class=""ng-binding ng-scope"">Christian Margain Photography</span></td>
</tr>
<tr>
<td valign=""top""><span class=""ng-scope""><strong>p:</strong><span class=""ng-binding""> (210) 860-6356<br /></span></span><span class=""ng-scope""><strong>e:</strong><span class=""ng-binding""> info@ChristianMargain.com</span></span></td>
</tr>
<tr>
<td valign=""top""><a href=""http://www.christianmargain.com/"" target=""_blank"" rel=""noopener""><span class=""ng-binding"">www.christianmargain.com</span></a></td>
</tr>
<tr class=""ng-scope"">
<td valign=""top""><span class=""ng-scope""><a href=""https://www.facebook.com/christianmargainphotography"" target=""_blank"" rel=""noopener""><img src=""https://codetwocdn.azureedge.net/images/mail-signatures/generator-dm/simplephoto/fb.png"" alt=""facebook icon"" width=""23"" border=""0"" /></a>&nbsp;</span><span class=""ng-scope""><a href=""https://www.instagram.com/christianmargain"" target=""_blank"" rel=""noopener""><img src=""https://codetwocdn.azureedge.net/images/mail-signatures/generator-dm/simplephoto/it.png"" alt=""instagram icon"" width=""23"" border=""0"" /></a>&nbsp;</span></td>
</tr>
</tbody>
</table>
</td>
</tr>
</tbody>
</table>",info@ChristianMargain.com,A Bride-to-Be From SanAntonioWeddings.com,christian.margain@gmail.com,https://www.facebook.com/ChristianMargainPhotography,1.0747E+14,https://www.instagram.com/christianmargain/,,Christian Margain Photography San Antonio TX,Christian Margain's unique photography  captures the happiness and joy being felt by all.,"christian margain photography, wedding photos, christian margain, wedding photographer, christian margain, weddings, photos, christian margain, wedding photography, christian margain photography, bridal portraits, christian marga",2108606356,,(210)860-6356,
7398,Christopher Hall - Knights of Columbus Council 7613,Christopher Hall at St. Mark,"<p class=""MsoNormal"" style=""margin: 0in 0in 10pt;""><span style=""line-height: 115%; font-family: 'Arial','sans-serif'; font-size: 10pt;"">Planning a wedding is often a fun and exciting process, but it can certainly be a stressful task as well. </span><span style=""line-height: 115%; font-family: 'Arial','sans-serif'; font-size: 10pt; mso-fareast-font-family: 'Times New Roman';"">Let the staff at <strong>Christopher Hall</strong> take care of your facility needs.</span></p>
<p class=""MsoNormal"" style=""margin: 0in 0in 10pt;""><span style=""line-height: 115%; font-family: 'Arial','sans-serif'; font-size: 10pt;"">Located within a short distance of Loop 1604 and Hwy 281,&nbsp;Christopher Hall is convenient for traveling guests. We are situated on St. Mark The Evangelist Catholic Church campus with ample free parking.</span></p>
<p class=""MsoNormal"" style=""margin: 0in 0in 10pt;""><span style=""line-height: 115%; font-family: 'Arial','sans-serif'; font-size: 10pt;"">Our beautifully stunning two-story hall can accommodate your guests with ample space available for bars, buffets and a dance floor. We welcome outside vendors for decorating, catering, DJ's, etc. Our 3,200-square-foot facility features ammenities including dimable lighting, ceiling mounted projector for your video or pictures, and a high-tech sound system for your audio needs. Our banquet space can be configured to host any event.</span><span style=""line-height: 115%; font-family: 'Arial','sans-serif'; font-size: 10pt;""><br /></span></p>
<p class=""MsoNormal"" style=""margin: 0in 0in 10pt;""><span style=""line-height: 115%; font-family: 'Arial','sans-serif'; font-size: 10pt;"">Because we believe that your wedding planning should be hassle-free, the staff at Christopher Hall can help you obtain the best support personnel in town.<br /></span></p>
<p class=""MsoNormal"" style=""margin: 0in 0in 10pt;""><span style=""line-height: 115%; font-family: 'Arial','sans-serif'; font-size: 10pt;"">Please call for more information and to schedule a tour of our facility.</span></p>",kc.grichmond@satx.rr.com,A Bride-to-Be From SanAntonioWeddings.com,CHinfo@KofC7613.org,https://www.facebook.com/pg/KnightsOfColumbusCouncil7613,,,,Christopher Hall at St Marks Catholic - Church San Antonio TX,"Christopher Hall at St. Mark Catholic Church offers beautifully stunning two-story hall can accommodate your guests with ample space available for bars, buffets and a dance floor.","christopher hall, weddings, receptions, san antonio, tx,",2104049101,,210-559-3571,https://www.sanantonioweddings.com/vt/christopher_hall/
7401,Coffeecionado,Coffeecionado,"<h5 style=""text-align: center;""><strong>Make your wedding extra special with personalized coffee favors!</strong><br /><strong>A unique coffee blend created and roasted by YOU and for YOU to share with your wedding guests!</strong></h5>
<p style=""text-align: center;""><strong>Our coffee is imported from several farms in Colombia, spanning the whole country.</strong><strong><br />We roast locally and distribute to small businesses looking to join in the adventure that is the coffee industry.<br /><br />Our key focus is female led entrepreneurship. Women are what set Coffeecionado apart from other coffee companies.<br /><br />Our desire is to see more women join in this venture and grow as entrepreneurs and small business owners.</strong></p>",info@coffeecionado.coffee,Getting Married in San Antonio,info@coffeecionado.coffee,https://www.facebook.com/coffeecionadoLIFE/,2.25474E+14,https://www.instagram.com/coffeecionadolife/,,Coffeecionado,"At Coffeecionado we're always in search of the perfect cup of coffee - and, of course, great company to share in the experience!","Coffee, Coffeecionado, Cafecionado, Cafecito, Cafe, Coffee Shop",2106183654,,,
7402,Courtyard by Marriott SeaWorld Westover Hills,Courtyard by Marriott SeaWorld/Westover Hills,"<p>Let us assist you with creating a truly memorable experience!<br /> <br /> Feel the warmth, beauty, and romantic ambiance of our elegant yet affordable wedding reception venue, <strong>The Missions Ballroom</strong>. Our ballroom features picturesque chandeliers, sconces, oversized wall mirrors, and will accommodate up to 500 guests.</p>
<p>An adjacent foyer may be used for sipping cocktails during a cocktail hour and savoring the cuisine of our skillful culinary team while overlooking the beautiful outdoor courtyard and pool area.<br /> &nbsp;</p>
<p>For more information, please contact our Catering Manager, <strong>Monica Voris</strong>, at <strong>210-591-6719</strong> or by email.</p>",sanantoniocycatering@ih-corp.com,A Bride-To-Be from San Antonio Weddings!,sanantoniocycatering@ih-corp.com,https://www.facebook.com/courtyardseaworld?fref=ts,2.67977E+11,,,Courtyard by Marriott Seaworld San Antonio TX,"Courtyard by Marriott by Seaworld gives you convenience in location , fun, and luxury guest accommodations.","courtyard by marriott, weddings, receptions, rehearsal dinners, san antonio, tx, courtyard by marriott, westover hills, weddings, guest accommodations, san antonio, tx, courty",2105916719,,210.324.0442,https://www.sanantonioweddings.com/vt/courtyardmarriottseaworld
7403,Couture Events,Couture Events,"<section id=""comp-iv2i14c8"" class=""strc1"" data-responsive=""true"">
<div id=""comp-iv2i14c8inlineContent"" class=""strc1inlineContent"">
<div id=""comp-iv2i160u"" class=""strc1"" data-content-width=""603"" data-is-mesh=""true"">
<div id=""comp-iv2i160uinlineContent"" class=""strc1inlineContent"">
<div id=""comp-iv2i160uinlineContent-gridWrapper"" data-mesh-internal=""true"">
<div id=""comp-iv2i160uinlineContent-gridContainer"" data-mesh-internal=""true"">
<div id=""comp-iv2i14d8"" class=""txtNew"" data-packed=""true"">
<h4 class=""font_4"">Couture Events</h4>
</div>
<div id=""comp-iv9l6e0c"" class=""txtNew"" data-packed=""true"">
<p class=""font_8"">Couture Events is a full-time wedding and&nbsp;&nbsp;event planning company in New Braunfels, Texas. Founder and lead coordinator, Jill McCarty, has taken her high-energy style and experience and developed a business to assist those who are dreaming of creating the perfect day and the perfect event. Whether the affair is a small intimate setting, a family bar-b-que, corporate event, fundraiser or the most important day of a couple's life- a wedding, Couture Events will tend to every detail. Our focus is always to advocate for our clients and their interests. As our client, you can rest assured your day is as important to us as it is to you. Your beautiful event is also our success.</p>
<p class=""font_8""><span class=""wixGuard""></span>Our goal at Couture Events is to bring a special touch and fresh outlook to every event. We are there for you every step of the way. If you have only&nbsp;set the date and want us to do it all or you just need assistance along the way, we will be there whenever you need us.</p>
<p class=""font_8""><span class=""wixGuard""></span>Our professional staff will handle all the details so you can throw the best event with no worries. We want you to enjoy the planning process, too! Most importantly, however, we want you to enjoy your big day. We strive for our clients to feel that they can attend their event while we attend to their&nbsp;event. Let us help turn your dreams and vision in to a stylish Couture Event.&nbsp;&nbsp;</p>
</div>
</div>
</div>
</div>
</div>
</div>
</section>
<section id=""comp-iv6ndxsx"" class=""strc1"" data-responsive=""true"">
<div id=""comp-iv6ndxsxinlineContent"" class=""strc1inlineContent"">
<div id=""comp-iv6ndxx5"" class=""strc1"" data-content-width=""603"" data-is-mesh=""true"">
<div id=""comp-iv6ndxx5balata"" class=""strc1balata"" data-page-id=""ctn5t"" data-enable-video=""true"" data-bg-effect-name="""" data-media-type="""" data-render-fixed-position=""true"" data-use-clip-path="""" data-needs-clipping="""">
<div id=""comp-iv6pu9y4"" class=""txtNew"" data-packed=""true"">
<h4 class=""font_4""><br />Turn your vision into reality</h4>
</div>
<div id=""comp-iv9lgu5a"" class=""txtNew"" data-packed=""true"">
<p class=""font_8"">Jill McCarty has been in the business of entertainment and fashion for over 20 years. As a singer, band leader, emcee, DJ and KJ, she has seen most every event happen from the inside out. While performing at numerous weddings, receptions and events, she realized that many times there was a great frustration behind the scenes. Generally, those with the most to celebrate&nbsp;are the ones stressed to the max and worried about the details. While planning her own wedding, she knew she had a knack for&nbsp;making beautiful&nbsp;things happen. Friends and family saw her passion and attention to detail, and quickly began asking for assistance. Many wedding and events later, she decided to follow her passion. She studied Wedding and Event Planning through QC Event Career School and received her diploma and an Award of Merit for outstanding creative ability.</p>
<p class=""font_8""><span class=""wixGuard""></span>Jill also has many years of experience in the fashion industry as a buyer for a major American-branded company. She prides herself in staying current with the trends and she always listens&nbsp;to what the customer wants. She has an outstanding record of customer service, and is anxious to bring that enthusiasm to each and every client, family and vendor she works with. Jill would love to help turn your vision into a reality. When you hire Jill, you hire a friend and an advocate for you.&nbsp;</p>
<p class=""font_8""><span class=""wixGuard"">- </span>Jill McCarty&nbsp;Founder &amp; Lead Coordinator</p>
</div>
</div>
<div id=""comp-iv6ndxx5inlineContent"" class=""strc1inlineContent"">
<div id=""comp-iv6ndxx5inlineContent-gridWrapper"" data-mesh-internal=""true"">
<div id=""comp-iv6ndxx5inlineContent-gridContainer"" data-mesh-internal=""true"">
<div id=""comp-iykci1e7"" class=""style-jqmyus3g"" data-svg-id=""f64009f16fb144cfac3c8ed9e071c6f3.svg"" data-svg-type=""shape"" data-display-mode=""legacyFit"" data-strokewidth=""0"" data-viewbox=""0 0 54.8 38.2"" data-preserve-viewbox=""ignore"">&nbsp;</div>
<div id=""comp-iv6pu9y4"" class=""txtNew"" data-packed=""true"">&nbsp;</div>
</div>
</div>
</div>
</div>
</div>
</section>",jill@coutureeventsbyjill.com,Bride to be from San Antonio Weddings,jill@coutureeventsbyjill.com,https://www.facebook.com/coutureeventsbyjill,4.39108E+11,https://www.instagram.com/coutureeventsbyjill/,https://www.pinterest.com/coutureeventsbyjill/,Couture Events Wedding Planning,Couture Events Wedding Planning,Couture Events Wedding Planning,8304816275,,8304816275,
7404,Creations Cakes,Creations Cakes,"<p>&nbsp;<strong>Creations Cakes is in San Antonio - available by appointment.</strong><span style=""color: #ff0000;""><strong><br /> </strong></span><br /> <span style=""color: #000000;"">As you plan for your wedding day, a vital part of those plans involve your wedding cake.</span></p>
<p><span style=""color: #000000;"">At <strong>Creations Cakes</strong> we believe your wedding cake is the centerpiece of your reception, symbolizing the first sweet moments of your new life together as husband and wife.</span></p>
<p><span style=""color: #000000;"">It is very important to us that we provide you with a cake that has great presentation and excellent taste. For this reason, all of our cakes are prepared with the finest ingredients and are fresh--<em>never</em> frozen.</span></p>
<p><span style=""color: #000000;"">Each of our finely designed wedding cakes receives individual attention, and is designed to reflect the bride and groom's every wish.</span></p>
<p><span style=""color: #000000;"">In addition to traditional wedding cakes, we have been recognized for designing amazing and original works of art. We can customize a beautifully tailored design for your wedding, and whether simple or elegant, wild or whimsical, dramatic or glamorous, we can make your ideas a reality.</span></p>
<p><span style=""color: #000000;"">We also specialize in handmade table decorations using sugar, adding a charming touch to your wedding. Call us to make an appointment for a free consultation and to taste samples of our work.</span></p>
<p><span style=""color: #000000;"">We're a short but beautiful 30 minute drive from downtown San Antonio...and once you get here, you'll be glad you made the trip! </span><br /><span style=""color: #000000;""> <br /> <strong>Two locations to better serve you including one in San Antonio!&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong></span></p>",creationscakes55@yahoo.com,A Bride-to-Be From SanAntonioWeddings.com,creationscakes55@yahoo.com,https://www.facebook.com/CreationsCakeShop/,3.98451E+14,creationscakeshop,,Creations Cakes San Antonio Area Wedding Cake Experts,"At Creations Cakes, we believe your wedding cake is the centerpiece of your reception, symbolizing the first sweet moments of your new life together.","cakes, weddings, wedding cake, bride's cake, groom's cake, creations cakes, cake creations, susie martinez, creations cake shop, weddings, bride's cake, bridal cake, groom's cake, rehearsal dinner cake, reception cake, bridal showe",8302813222,,NULL,
